id,name,category
1,Tester,Technical
2,Automation Test,Testing & QA
130,Azure,Technical
230,DevSecOps,Security
5,Agile,Methodology
6,Cloud,Cloud & DevOps
7,Microservices,Methodology
8,Stakeholder management,Soft Skills
9,Team Management,Soft Skills
10,Spring Boot,Technical
11,Kubernetes,Technical
12,Spring,Technical
13,SQL,Technical
14,Design,Technical
964,Adobe Photoshop,Design & UX
133,NextJS,Technical
17,C#,Technical
18,OOP,Methodology
19,Python,Technical
232,Application Security,Security
135,Database,Database & Storage
22,DevOps,Methodology
23,Linux,Technical
24,JavaScript,Technical
25,HTML5,Technical
26,ERP,Enterprise Systems
136,IBM DB2,Database & Storage
28,VueJS,Technical
29,Git,Technical
233,Mobile Apps,Embedded & Hardware
560,AWS CloudFormation,Technical
139,Middleware,Technical
33,Data Engineer,Data & AI
34,Data Warehousing,Data & AI
35,Data Quality Tools,Data & AI
36,ETL,Data & AI
447,VBA,Technical
236,Sharepoint,Enterprise Systems
39,Rust,Technical
40,Swift,Technical
41,English,Language
336,TensorFlow,Technical
143,GitHub,Technical
44,Kafka,Technical
448,Big Data,Data & AI
46,RPA,Technical
1746,Kanban,Methodology
240,ISO 27001,Security
49,C++,Technical
50,Microservices Architecture,Methodology
51,SOLID Principles,Methodology
52,Cloud Security,Security
450,IT Governance,Security
54,API,Technical
2101,Metabase,Data & AI
149,AWS Lambda,Technical
2682,Japanese - N2,Language
58,Data Analysis,Data & AI
151,Kotlin,Technical
60,AI,Data & AI
152,Android,Technical
62,NoSQL,Database & Storage
453,Data Science,Data & AI
64,Risk Assessment / BCP,Security
65,Business Analysis,Product & Business Analysis
2683,BSE Leader,Technical
155,NodeJS,Technical
1085,GraphQL,Methodology
69,Tableau,Data & AI
157,Generative AI,Data & AI
158,Project Management,Soft Skills
72,Angular,Technical
73,.NET,Technical
159,Hardware Troubleshooting,Embedded & Hardware
75,Jenkins,Technical
160,Bash Shell,Technical
77,Embedded,Embedded & Hardware
456,Trello,Technical
79,Risk Management,Soft Skills
80,Identity & Access Management,Soft Skills
81,PCI DSS,Security
162,CI/CD,Methodology
83,Motion Design,Technical
163,ReactJS,Technical
566,Robot Framework,Testing & QA
249,SIEM,Security
87,QA QC,Testing & QA
458,Redux,Technical
865,Wordpress,Enterprise Systems
90,Deep Learning,Data & AI
168,ServiceNow,Enterprise Systems
1299,Adobe Illustrator,Design & UX
170,Leadership,Soft Skills
94,CSS 3,Technical
95,CSS,Technical
350,BRD,Product & Business Analysis
351,Scrum,Methodology
173,Security,Technical
174,Google Cloud,Technical
867,Figma,Technical
101,LLM,Data & AI
769,Blazor,Technical
177,PHP,Technical
1522,.Net Core,Technical
179,Cloud-native Architecture,Cloud & DevOps
258,UI-UX,Design & UX
1523,ASP.NET,Technical
182,Jira,Technical
2822,Automation Testing,Technical
466,Web3.js,Technical
111,Networking,Cloud & DevOps
112,Java,Technical
467,MobX,Technical
2685,Security Engineer,Technical
187,Playwright,Testing & QA
116,TestRail,Technical
360,ITIL Foundation,Methodology
118,IT Support,Technical
119,MySQL,Technical
120,AWS,Technical
189,Product Owner,Product & Business Analysis
122,FastAPI,Technical
123,Docker,Technical
575,French,Language
125,GitLab CI,Technical
470,MariaDB,Technical
2823,MS Virtualization Technologies,Technical
1753,Algorithms,Technical
194,Japanese,Language
1754,Scala,Technical
270,Golang,Technical
271,Software Architecture,Methodology
273,Design Systems,Design & UX
274,PostgreSql,Technical
201,Web API,Technical
1756,Hyper-V,Cloud & DevOps
203,TypeScript,Technical
204,HTML,Technical
276,SRS,Product & Business Analysis
207,Chinese,Language
210,Computer Vision,Data & AI
277,BPMN,Product & Business Analysis
278,Power BI,Data & AI
213,Machine Learning,Data & AI
214,NLP,Data & AI
2687,Penetration Test,Technical
2824,ChatGPT,Technical
1427,CompTIA Security+,Security
370,A/B testing,Testing & QA
982,IT Audit,Security
372,Product strategy,Product & Business Analysis
373,Splunk,Cloud & DevOps
374,IoT,Embedded & Hardware
1205,ROS2,Embedded & Hardware
288,Microsoft SQL Server,Technical
682,WinForms,Technical
984,Power Automate,Technical
227,JSON,Technical
1206,Robotics,Embedded & Hardware
292,Postman,Testing & QA
293,OWASP,Security
685,Presale,Product & Business Analysis
986,Container Security,Security
1312,ASPICE,Embedded & Hardware
382,Enterprise Architecture,Methodology
383,System Architecture,Methodology
688,MLOps,Data & AI
300,Product canvas,Product & Business Analysis
488,Spark,Technical
1208,R,Data & AI
1313,Korean,Language
304,Amazon RDS,Database & Storage
2825,Claude,Technical
597,SOAR,Security
2558,Cucumber,Testing & QA
391,AUTOSAR,Embedded & Hardware
309,Amazon Aurora,Database & Storage
392,Objective C,Technical
311,System Admin,Cloud & DevOps
312,Solution Architecture,Methodology
1430,Cisco,Cloud & DevOps
394,React Native,Technical
4854,Spring MVC,Technical
316,MongoDB,Technical
994,Entity Framework,Technical
318,Oracle,Technical
1883,NetSuite,Enterprise Systems
320,Selenium,Testing & QA
398,VMware,Cloud & DevOps
498,Terraform,Technical
2691,SaaS,Technical
604,Prompt Engineering,Data & AI
797,Waterfall Methodology,Methodology
699,Dart,Technical
700,Technical Writing,Product & Business Analysis
2827,Statistics,Technical
505,NestJS,Technical
330,Product roadmap,Product & Business Analysis
609,kotlinx.coroutines,Technical
1217,Matlab,Data & AI
409,Digital tokens,Technical
1645,Integration test,Testing & QA
2828,Looker Studio,Data & AI
3365,Performance Testing,Technical
803,Android studio,Technical
2117,Data modeling,Data & AI
2830,SQL Tuning,Technical
514,Statistical Analysis,Data & AI
4855,Software Deployment,Technical
2832,Shell Script,Technical
1118,Shopify,Enterprise Systems
905,Product Design,Design & UX
519,Games,Technical
2833,MS SQL,Technical
1008,CRM,Enterprise Systems
908,GitLab,Technical
2699,REST API,Methodology
3367,ISTQB,Technical
1122,Unit test,Testing & QA
428,EDR,Security
526,Business Intelligence,Data & AI
430,Product Management,Soft Skills
1012,Unity,Technical
528,Adobe,Design & UX
2014,vb.net,Technical
2570,Unix,Technical
531,Penetration Testing,Security
436,Microsoft Dynamics 365,Enterprise Systems
437,GitHub Actions,Technical
3368,Test Design,Technical
439,JUnit,Testing & QA
2836,HA,Technical
441,Incident Response,Security
442,Encryption Key Management,Soft Skills
1017,ELK,Technical
725,Embedded C,Technical
918,CANalyer,Embedded & Hardware
